Publisher Name,Publisher Registry Id,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,Time lag
Disabled People's Organisations Denmark,dpod,1,7,5,9,6,11,10,4,3,3,1,4,One month
Dorcas Aid International,dai,0,0,1,0,0,0,0,0,2,3,0,4,One month
East African Playgrounds,eap,0,1,1,0,0,1,0,0,1,1,1,1,One month
European Bank for Reconstruction and Development,ebrd,62,65,76,58,87,158,38,68,55,68,73,0,One month
European Commission - Humanitarian Aid & Civil Protection,ec-echo,783,429,291,315,320,298,180,167,228,464,559,467,One month
European Commission - International Partnerships,ec-intpa,665,568,530,555,725,1469,335,445,552,518,528,42,One month
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,255,187,204,230,271,816,172,147,211,241,209,15,One month
European Commission - Service for Foreign Policy Instruments,ec-fpi,40,44,49,53,65,104,38,41,46,37,45,6,One month
European Investment Bank,eib,3,0,2,10,8,36,2,1,3,0,1,52,One month
Free a Girl,freeagirl,8,0,1,6,1,5,4,0,3,6,3,0,One month
"Gavi, the vaccine alliance",gavi,329,264,373,474,328,1361,1085,455,469,210,178,0,One month
Germany - Federal Foreign Office,fo_germany,426,399,429,489,789,343,114,243,230,240,255,212,One month
Germany - Ministry for Economic Cooperation and Development,bmz,332,247,443,312,623,1217,323,182,302,332,6718,13,One month
Grand Challenges Canada,hgc,6,8,8,2,8,14,12,14,36,14,6,12,One month
Handicap International UK,hiuk,12,1,9,4,1,11,4,10,3,3,2,1,One month
HelpAge International UK,ageintl,6,5,5,0,2,2,0,0,5,1,4,4,One month
ICF Consulting Services Ltd,icf,5,1,5,3,1,3,4,2,4,4,0,2,One month
IDB Invest,idbinvest,3,2,5,3,1,0,0,1,1,6,1,0,One month
IMC WORLDWIDE,imcw_admin,4,0,10,8,13,10,11,12,22,16,36,0,One month
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,4,3,5,6,6,3,242,3,2,1,1,0,One month
International Committee of the Red Cross (ICRC),icrc,503,492,505,484,181,0,498,483,602,530,552,0,One month
International Development Law Organization (IDLO),idlo,11,6,79,11,17,83,3,7,81,7,4,4,One month
International Federation of the Red Cross and Red Crescent (IFRC),ifrcrcs,3045,2728,2483,2038,1832,2484,1240,1059,1140,638,303,0,One month
International Finance Corporation,ifcwbg,7,6,9,8,13,31,8,5,17,9,15,90,One month
International Fund for Agricultural Development (IFAD),ifad,160,111,115,155,134,316,73,78,126,125,45,2,One month
International Indigenous Women Forum,fimi_iiwf_2019,0,0,1,0,0,2,0,0,0,4,0,9,One month
International Organization for Migration (IOM),iom,61,39,75,55,49,73,83,51,55,30,10,1,One month
International Planned Parenthood Federation,ippf,18,18,48,12,9,31,3,9,12,0,31,6,One month
Luminate Foundation Inc.,luminate,35,28,31,32,83,55,15,40,24,5,25,15,One month
MSI Reproductive Choices,msi,11,12,8,10,12,20,5,8,19,2,1,0,One month
Netherlands - Ministry of Foreign Affairs,minbuza_nl,285,237,323,343,715,1216,125,162,273,555,214,241,One month
Netherlands Commission for Environmental Assessment,ncea,0,0,0,2,0,1,108,0,0,41,0,25,One month
Netherlands Enterprise Agency (RVO),rvo,298,159,184,238,286,498,101,150,180,176,138,136,One month
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,8,11,8,9,9,36,13,27,13,14,7,13,One month
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat,640,908,1016,943,957,1416,722,1224,2064,1672,2873,694,One month
OCHA Country Based Pooled Funds,unocha-cbpf,479,517,529,349,364,517,416,471,651,518,374,479,One month
Oxfam Novib,onl,829,768,1016,896,975,1071,950,916,1202,725,875,888,One month
Oxford Policy Management,opml,2,2,16,3,2,21,2,0,4,1,4,0,One month
PlanBørnefonden,plb,1,0,1,0,0,0,0,1,2,7,1,4,One month
PricewaterhouseCoopers Private Limited India,pwcplindia,1,1,5,3,1,17,5,3,10,7,6,4,One month
PwC,pwc,1,8,27,1,8,24,1,2,32,3,1,0,One month
Riverrecycle Oy,riverrecycle,0,0,0,0,0,1,0,0,0,1,1,0,One month
Royal Commonwealth Ex-Sevices League,rcel,2,0,2,28,0,2,0,1,1,10,16,0,One month
SOS Børnebyerne,sosdk,0,0,0,0,0,0,0,0,0,2,0,1,One month
Saferworld,saferworld,5,2,1,3,0,4,0,3,2,1,3,0,One month
Spanish Agency for International Development Cooperation (AECID),aecid,188,98,63,142,4,2,171,96,102,60,30,0,One month
Stichting Vluchteling,st_vluchteling,2,2,3,5,6,4,1,1,6,8,1,0,One month
Stichting Woord en Daad,w-d,19,6,8,18,20,25,2,7,5,8,3,10,One month
"Sweden, through Swedish International Development Cooperation Agency (Sida)",sida,750,428,969,926,1299,1693,503,352,623,478,560,981,One month
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",theglobalfund,1969,1779,2164,2479,1956,1925,2149,1950,1887,1436,1699,1933,One month
"UK - Foreign, Commonwealth and Development Office",fcdo,834,814,1212,894,1031,1302,773,808,1100,658,680,5,One month
UN Women,unw,1680,1684,1707,1740,1777,5291,860,1057,1307,1371,1421,5849,One month
UNICEF Netherlands National Committee,unicefnl,0,2,3,0,0,2,0,0,2,4,0,2,One month
UNITAID,utd,13,6,8,2,2,15,5,4,6,4,8,10,One month
United Nations Central Emergency Response Fund (CERF),cerf,13,32,96,95,54,141,52,42,166,51,90,87,One month
United Nations Children's Fund (UNICEF),unicef,7762,7800,7984,8103,8507,71271,8471,7834,8615,8377,78132,0,One month
United Nations Development Programme (UNDP),undp,4668,5051,5622,5043,5179,19466,4017,4316,5068,4713,4989,31380,One month
United Nations Environment Programme (UNEP),un-environment,0,0,0,0,0,5,0,0,0,2,0,3,One month
United Nations Foundation,unf,1,1,2,0,0,1,2,1,2,2,1,0,One month
United Nations High Commissioner for Refugees (UNHCR),unhcr,418,410,536,431,578,1421,104,167,277,270,124,180,One month
United Nations Office for Project Services (UNOPS),unops,58,15,20,15,18,219,293,156,20,9,2,0,One month
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),unocha,63,77,14,8,7,67,51,90,151,74,50,34,One month
United Nations World Food Programme (WFP),wfp,2252,2315,2241,2158,2279,2848,2372,2461,2763,2663,2536,2872,One month
United States Agency for International Development (USAID),usaid,1466,1920,34179,1246,1357,25179,1100,1259,28200,2358,1449,0,One month
Voluntary Service Overseas (VSO),vso,7,0,2,3,2,0,2,1,0,2,1,0,One month
WNF Wereld Natuur Fonds,wnf,7,1,17,24,12,16,15,9,18,9,15,10,One month
WSP USA Solutions Inc.,lbg,2,4,8,5,3,8,1,5,5,4,1,5,One month
World Health Organization (WHO),who,10367,11336,12279,13542,15325,22040,15814,7214,10916,10666,11627,14418,One month
World Vegetable Center,worldveg,1,1,1,1,2,3,2,1,3,10,1,0,One month
World Vision UK,wvuk,30,10,69,42,16,39,43,25,46,6,38,17,One month
World Young Women's Christian Association,world_ywca,0,2,3,0,2,1,1,2,1,1,2,0,One month
ZOA,zoa,6,10,8,6,5,40,2,5,4,8,2,0,One month
ADD International (Action on Disability and Development),addinternational,9,6,11,7,3,8,10,2,3,5,0,0,A quarter
ADRA Denmark,adra-dk,0,0,0,2,0,0,0,0,1,0,0,1,A quarter
Access to Medicine Foundation,atmf,1,0,0,0,0,3,12,0,1,0,0,2,A quarter
Aga Khan Foundation (United Kingdom),akfuk73,0,0,1,8,1,5,9,0,3,5,0,0,A quarter
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,10,1,34,11,8,36,11,2,7,0,0,1,A quarter
"Alliance for Global Water Adaptation, Inc",agwa,0,0,3,0,0,1,1,0,2,0,1,0,A quarter
BDO LLP,bdo,1,0,1,2,1,2,1,2,3,1,0,0,A quarter
BRAC UK,bracuk,4,3,8,4,2,7,4,0,4,1,0,0,A quarter
Boston University,bu-carbx-admin,1,0,0,5,0,0,0,0,0,11,0,0,A quarter
CARE SOMALIA,csom1,5,0,1,3,6,1,3,2,3,1,0,0,A quarter
CODEART ASBL,codeart,1,2,0,1,3,1,0,1,0,0,0,4,A quarter
Camfed International,camfed,1,2,14,1,2,21,0,0,10,0,2,0,A quarter
Cardno Emerging Markets,cardnoem,0,25,37,0,26,27,0,28,0,0,29,0,A quarter
Caritas Denmark,caritas_denmark,0,0,2,0,0,0,0,0,2,1,0,0,A quarter
Center for Church-Based Development,cku,27,22,28,14,22,38,21,23,20,11,0,0,A quarter
Centre International de Développement et de Recherche,cidr,1,0,1,1,0,1,0,0,1,1,0,0,A quarter
Centre for Economic Policy Research,cepr,4,32,40,13,33,37,13,30,40,26,0,0,A quarter
Charity Projects Ltd (Comic Relief),cprojects,8,6,22,8,10,25,6,9,48,2,0,0,A quarter
Chemonics International Inc.,chemonics,10,7,7,8,7,7,10,3,5,1,0,0,A quarter
ChildHope UK,childhopeuk,0,1,3,1,2,2,1,0,4,0,0,3,A quarter
Christian Blind Mission (UK) Ltd.,cbm,2,1,3,2,0,4,0,2,2,0,1,0,A quarter
Clinton Health Access Initiative,chai,1,2,9,1,2,12,0,0,5,0,0,1,A quarter
Cordaid,cordaid,20,20,45,10,20,59,6,16,23,23,0,0,A quarter
DAI Europe,dai-e,34,0,4,0,0,65,0,0,26,144,0,0,A quarter
DKT International,dkti,0,0,0,1,0,0,0,0,0,0,1,0,A quarter
Ecorys UK,ecuk,7,6,6,3,10,8,5,7,15,8,0,0,A quarter
Education Development Trust,eddevtrust,0,0,34,14,16,39,22,17,18,1,0,0,A quarter
Elrha,elrha,7,1,48,11,10,46,5,1,4,1,0,0,A quarter
Fair Wear Foundation,fwf,0,0,0,0,0,9,0,0,0,1,0,0,A quarter
Finland - Ministry for Foreign Affairs,finland_mfa,48,34,53,52,60,935,85,72,106,28,0,0,A quarter
Frontline AIDS,f-aids,0,5,6,0,0,49,0,0,11,2,0,0,A quarter
GEF Secretariat,gef,31,91,768,22,19,42,20,24,28,1,0,0,A quarter
GEOMOUN ASBL,geomoun,0,0,0,0,0,1,0,0,0,0,0,1,A quarter
Germany GIZ Non BMZ,giz,2,0,0,4,2,0,4,2,2,0,0,2,A quarter
Girls Not Brides: The Global Partnership to End Child Marriage,girlsnotbrides,0,0,0,0,0,3,0,0,0,2,0,0,A quarter
Global Impact Investing Network,giin,1,1,0,1,0,1,0,0,0,1,0,0,A quarter
Global Network of People Living with HIV (GNP+),gnpplus,0,0,0,0,3,2,0,1,2,0,0,3,A quarter
Global Rights Compliance,grc2018,1,0,1,18,2,0,1,0,0,0,1,0,A quarter
Grow Asia,growasia,0,0,1,1,0,0,2,0,0,2,0,0,A quarter
Guttmacher Institute,guttmacher,1,1,4,1,0,6,0,0,0,0,1,0,A quarter
Healthy Entrepreneurs Foundation,hefoundation,0,0,1,0,0,1,0,0,1,1,0,0,A quarter
Helvetas Swiss Intercooperation,hsi,0,0,0,0,0,1,0,0,0,1,0,0,A quarter
Hivos,stichting_hivos,6,10,7,5,11,18,0,3,24,1,0,0,A quarter
INTERSOS Onlus,intersos_main,0,1,1,5,0,1,0,0,1,1,0,0,A quarter
IRC,irc,0,0,7,0,7,7,0,0,7,0,0,7,A quarter
Institute for International Workers Education,iiwe,0,0,0,2,0,17,0,0,0,0,0,1,A quarter
International Institute for Environment and Development,iied,9,10,7,7,13,29,6,0,1,0,0,1,A quarter
InvestInternational,investinternational,18,20,53,14,13,45,11,20,23,1,0,0,A quarter
KPMG East Africa,kpmgea,2,2,8,0,3,3,2,0,10,0,3,0,A quarter
Leonard Cheshire Disability,lcd_admin,3,0,5,4,0,6,3,0,6,4,0,0,A quarter
London School of Hygiene and Tropical Medicine,lshtm,1,2,2,2,2,1,0,1,0,0,1,0,A quarter
M&C Saatchi,mcs_new,3,1,1,1,1,1,1,1,1,1,0,0,A quarter
Mainline,mainline,0,6,0,0,0,0,0,0,0,2,0,0,A quarter
MapAction,mapaction,3,1,2,1,1,5,4,2,1,2,0,0,A quarter
Montrose International LLP,montrose_llp,1,0,1,1,4,5,0,0,1,1,0,0,A quarter
Mott MacDonald Limited,mml,12,20,20,17,18,28,7,15,26,2,0,0,A quarter
Natural Justice,nj_1,0,0,0,0,17,0,0,0,0,0,1,0,A quarter
Nature and Development Foundation,ndf_fgm,3,3,3,3,3,1,1,3,2,4,0,0,A quarter
Norwegian Refugee Council,nrc,0,0,16,0,1,16,0,0,10,1,0,0,A quarter
Opportunity International UK,opportunity-international-uk,0,1,4,0,0,7,0,1,0,0,1,0,A quarter
Oxfam Australia,oau,0,0,0,0,0,0,0,0,128,1,0,0,A quarter
Pegasys Limited,pegasys-eu,26,4,1,23,4,3,22,10,0,23,0,0,A quarter
Plan International Netherlands,plannlno,66,87,114,72,86,125,85,75,125,3,0,0,A quarter
Plan International UK,plan_uk,20,10,24,19,83,25,56,23,43,13,0,0,A quarter
Protos,protos,1,1,2,0,0,28,0,1,0,2,0,0,A quarter
SNV Netherlands Development Organisation,snv,7,0,0,4,4,14,6,0,0,10,0,0,A quarter
SOS Children's Villages The Netherlands,sosnl,4,2,3,3,0,4,13,1,3,0,1,0,A quarter
Save the Children International,sci,4,1,114,2,1,118,2,0,94,0,0,1,A quarter
Save the Children Netherlands,scnl,3,0,40,0,2,63,19,4,40,2,0,0,A quarter
Scottish Catholic International Aid Fund (SCIAF),sciaf,4,1,5,0,0,5,0,3,3,0,1,0,A quarter
Self Help Africa,self-help-africa,0,0,2,0,0,1,0,0,1,0,1,0,A quarter
Sense International,sense_international,2,10,8,2,2,3,4,2,4,4,0,0,A quarter
Stakeholder Democracy Network,sdn,0,0,0,1,0,1,1,0,1,0,1,0,A quarter
TEAR fund Nederland,tear,1,2,4,3,4,16,11,0,10,3,0,0,A quarter
Tearfund,tearfund,0,2,8,2,3,7,0,6,7,5,0,0,A quarter
The Global Alliance for Improved Nutrition,gain,370,363,346,396,371,363,425,396,364,1,0,0,A quarter
The International Institute for Sustainable Development,iisd,0,0,5,1,2,1,2,0,0,1,0,0,A quarter
The Open University,open_university,4,7,13,4,7,12,2,4,11,1,0,0,A quarter
The University of Oxford,oxford,2,1,4,1,1,39,4,4,18,1,0,0,A quarter
The World Bank,worldbank,0,0,4637,0,0,5523,2,0,4746,0,3861,0,A quarter
TradeMark East Africa,tmea,86,0,0,80,0,6,0,0,0,95,0,0,A quarter
Traidcraft Exchange,traidcraft,0,0,2,0,0,2,0,1,0,1,0,0,A quarter
Triangle Génération Humanitaire,tgh,0,1,0,0,0,0,0,0,0,1,0,0,A quarter
Tropical Health and Education Trust,tropicalhealth,0,1,1,0,1,1,0,0,2,0,1,0,A quarter
Twynstra Gudde,twynstragudde,0,1,0,0,1,0,0,1,0,0,1,0,A quarter
UHAI EASHRI,uhai-eashri,5,21,11,1,75,108,0,6,3,10,0,0,A quarter
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",beis,134,2,164,74,10,140,30,28,102,12,0,0,A quarter
Unilever,ul,0,0,0,1,0,1,0,6,4,1,0,0,A quarter
United Nations Population Fund,unfpa,0,0,0,0,0,0,0,0,0,0,0,1632,A quarter
Universiteit Leiden,universiteit_leiden,0,0,1,0,0,4,0,0,2,0,0,2,A quarter
Wayamo Foundation,wayamo,0,0,0,1,0,0,0,0,0,0,0,1,A quarter
Wemos Foundation,wemos,0,0,0,0,0,6,0,0,0,1,0,0,A quarter
Wildlife Conservation Society,wcs,0,0,1,1,0,1,1,0,1,1,0,0,A quarter
Womankind Worldwide,womankindworld,0,6,5,1,5,5,6,5,1,7,0,0,A quarter
Women Challenged to Challenge,wctc,0,1,0,0,1,1,0,1,0,1,0,0,A quarter
Women for Women International (UK),wfwiuk,0,5,0,0,5,1,0,0,4,0,6,0,A quarter
World Vision Netherlands,wvnld,2,0,8,2,5,9,1,5,0,1,0,0,A quarter
Y Care International,ycare,1,1,1,0,1,1,0,0,0,1,0,0,A quarter
YWCA Palestine,ywca,0,0,0,0,1,0,0,0,0,1,0,0,A quarter
Yayasan PEKKA,pekka_21,0,36,3,0,0,3,0,0,0,1,0,0,A quarter
Young Women Christian Association of South Sudan (YWCA SS),ywcass,0,0,0,0,1,0,0,0,0,0,1,0,A quarter
50 Eight Limited,fifty_eight,0,0,2,0,0,2,0,0,2,0,0,0,Six months
AFELT,afelt,0,0,1,0,0,1,0,0,1,0,0,0,Six months
AVSI FOUNDATION IN UGANDA,avsi_uganda,0,0,0,0,0,1,0,0,1,0,0,0,Six months
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,0,1,0,1,0,2,0,0,2,0,0,0,Six months
ActionAid Rwanda,aar,4,0,5,1,3,1,3,1,1,0,0,0,Six months
Administração de Infra-Estruturas de Águas e Saneamento,aias,0,0,2,0,1,2,0,0,2,0,0,0,Six months
AfriKids,afrikids,1,1,2,1,1,3,0,1,1,0,0,0,Six months
African Women's Development Fund,awdf,0,0,7,0,0,7,0,0,24,0,0,0,Six months
African Women's Development and Communication Network,femnet,0,3,15,1,1,17,0,0,1,0,0,0,Six months
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,0,0,2,0,0,1,0,0,2,0,0,0,Six months
Alinea International Ltd.,alineainternational_2020,1,3,2,0,5,7,3,3,1,0,0,0,Six months
Amref Flying Doctors,amrefnl,5,9,12,7,1,6,0,1,0,0,0,0,Six months
Amref Health Africa in Kenya,amrefkenya,0,0,0,0,0,1,1,0,1,0,0,0,Six months
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,1,0,16,0,2,18,1,1,13,0,0,0,Six months
Article19,art19,1,0,2,1,0,1,0,0,2,0,0,0,Six months
Ashoka East Africa,ashoka,0,0,1,0,0,1,0,0,1,0,0,0,Six months
Association for Women's Rights in Development (AWID),awid,0,0,0,0,0,3,1,0,0,0,0,0,Six months
Avocats Sans Frontières,asf,0,0,0,0,0,32,0,1,0,0,0,0,Six months
BoP Innovation Center,bopinc,0,0,1,0,0,0,0,1,2,0,0,0,Six months
Both ENDS,bothends,0,0,0,0,0,10,0,2,0,0,0,0,Six months
British Council,britishcouncil,37,69,55,56,20,43,68,20,58,0,0,0,Six months
CANADEM,canadem,0,0,2,0,0,2,0,0,2,0,0,0,Six months
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,1,0,0,0,0,0,0,2,3,0,0,0,Six months
CDP Worldwide,cdp,0,0,3,0,0,4,0,1,5,0,0,0,Six months
COWI,cowi,1,7,14,0,2,0,0,0,8,0,0,0,Six months
CREA,creausa-org,0,0,0,0,0,12,1,0,0,0,0,0,Six months
Catholic Relief Services,crs,5,3,17,2,1,16,2,1,6,0,0,0,Six months
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,0,0,0,0,0,7,1,0,0,0,0,0,Six months
Centre for Humanitarian Dialogue (HD Centre),hdcentre,1,1,4,0,0,3,0,0,1,0,0,0,Six months
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,0,0,1,0,0,1,0,0,1,0,0,0,Six months
Centre for Policy Dialogue,cpd,0,2,0,0,1,0,2,1,0,0,0,0,Six months
Child.org,child-dot_org,0,0,2,0,0,2,0,0,2,0,0,0,Six months
ClientEarth,clientearth-1,2,1,12,3,1,13,4,1,12,0,0,0,Six months
Coalition of African Lesbians (CAL),cal_2000-pu,0,0,11,0,0,12,0,0,6,0,0,0,Six months
Coffey International Development,coffey,0,0,59,0,0,44,0,0,36,0,0,0,Six months
Compassion UK,comp_uk,0,0,26,0,0,26,0,0,25,0,0,0,Six months
Conciliation Resources,cr,0,0,0,2,0,0,1,0,0,0,0,0,Six months
Corporación de Apoyo a Comunidades Populares,codacop,0,1,0,0,1,0,0,0,1,0,0,0,Six months
Crown Agents Limited,cal,0,0,29,0,0,23,0,0,10,0,0,0,Six months
DCAF - Geneva Centre for Security Sector Governance,dcaf,3,5,1,1,1,12,1,0,0,0,0,0,Six months
DKT RD Congo,dkt_drc,0,0,0,0,0,0,0,0,1,0,0,0,Six months
Danish Family Planning Association,dfpa,0,1,0,0,0,0,0,1,0,0,0,0,Six months
Danish Trade Union Development Agency (Ulandssekretariatet),loftf,0,0,3,0,1,5,1,0,2,0,0,0,Six months
Danmission,danmission,0,0,1,6,0,0,0,0,1,0,0,0,Six months
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,0,7,0,0,2,10,0,2,0,0,0,0,Six months
Development Media International,dmi_admin,0,0,2,0,0,2,0,0,2,0,0,0,Six months
EDUCATION DEVELOPMENT TRUST - RWANDA,edt_rwanda,0,0,0,2,0,0,0,0,19,0,0,0,Six months
Elton John AIDS Foundation,ejaf,0,1,1,1,0,1,0,1,1,0,0,0,Six months
Ethiopiaid UK,ethiopiaiduk,7,1,0,2,3,0,1,5,3,0,0,0,Six months
Faith to Action Network,f2a,4,0,0,4,0,14,1,0,0,0,0,0,Six months
Farm Africa,fa,1,1,2,0,1,0,0,0,1,0,0,0,Six months
Food and Agriculture Organization of the United Nations (FAO),fao,0,0,2893,0,0,4548,0,0,4084,0,0,0,Six months
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,fucid,0,0,0,0,0,5,1,0,0,0,0,0,Six months
France - Ministry for Europe and Foreign Affairs,france,0,6,0,1,4,0,1,2,0,0,0,0,Six months
Friends of the Earth International,foei,0,0,0,0,0,1,1,0,0,0,0,0,Six months
Fundación Gaia Amazonas,gaia,0,0,0,0,0,2,0,0,1,0,0,0,Six months
GALZ,galz,0,0,0,0,0,2,1,0,2,0,0,0,Six months
Gender at Work,genderatwork,0,2,10,0,4,9,0,0,12,0,0,0,Six months
Geneva International Centre for Humanitarian Demining,gichd,0,0,10,1,0,10,1,0,10,0,0,0,Six months
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,0,14,26,0,14,27,0,12,26,0,0,0,Six months
Global Alliance for Livestock Veterinary Medicines,galvmed,0,0,11,0,0,11,0,0,8,0,0,0,Six months
Global Canopy,globalcanopy,1,0,2,0,0,1,1,0,1,0,0,0,Six months
Global Disability Innovation Hub,gdihub,4,0,0,0,0,0,0,0,4,0,0,0,Six months
Global Fund for Community Foundations,gfcf,0,0,0,1,0,1,1,1,0,0,0,0,Six months
Gulu University,guluuni,0,0,1,0,0,1,0,0,1,0,0,0,Six months
Handicap International Federation,hi_fed,0,0,0,0,2,2,2,0,2,0,0,0,Six months
Health Poverty Action,hpa,0,0,2,0,0,2,0,1,1,0,0,0,Six months
HealthNet TPO,healthnet,1,0,0,0,0,3,0,0,2,0,0,0,Six months
Higher Population Council,hpc,0,0,0,0,0,0,0,2,0,0,0,0,Six months
Hope and Homes for Children,hhc,0,1,2,0,0,0,1,0,0,0,0,0,Six months
ICCO Cooperation,icco-cooperation,2,2,19,7,11,37,2,1,0,0,0,0,Six months
"IDH, the Sustainable Trade Initiative",idh,0,5,1,0,0,27,52,0,0,0,0,0,Six months
ILGA Asia,ilgaasia,0,0,1,1,1,1,0,0,1,0,0,0,Six months
INTOSAI Development Initiative,idi,0,0,36,0,0,37,0,0,29,0,0,0,Six months
INTRAC,intrac,2,1,2,1,1,2,1,1,1,0,0,0,Six months
IOD PARC,iodparc,2,0,3,0,0,0,0,1,0,0,0,0,Six months
IPE Global Limited,ipeglobal,0,0,0,0,0,0,0,0,4,0,0,0,Six months
IUCN Nederlands Comité,iucn_nl,10,8,9,6,33,34,9,5,5,0,0,0,Six months
Ibrahimia Media Center,imc-2021,0,1,0,0,0,0,0,0,1,0,0,0,Six months
Initiative Sankofa d'Afrique de l'Ouest,isdao,0,0,10,16,64,57,3,0,7,0,0,0,Six months
Institute for Security Studies,issafrica,1,0,3,0,0,3,0,0,3,0,0,0,Six months
Institute of Development Studies,ids,0,0,96,0,0,58,0,0,50,0,0,0,Six months
Integrity Research and Consultancy Ltd,integrity,2,3,2,1,1,1,2,0,1,0,0,0,Six months
Inter-American Development Bank,iadb,324,422,461,468,536,583,280,429,0,0,0,0,Six months
International Alert,international-alert,2,1,101,2,1,141,0,0,102,0,0,0,Six months
International Center for Not-for-Profit Law,icnl_org,1,5,15,8,5,22,5,2,15,0,0,0,Six months
International IDEA,idea,0,0,107,0,0,577,0,0,129,0,0,0,Six months
International Media Support,ims,0,1,1,0,0,0,0,0,2,0,0,0,Six months
International Medical Corps UK,imc_uk,0,1,3,1,1,2,0,2,2,0,0,0,Six months
International Network for Advancing Science and Policy,inasp,0,1,6,0,1,6,0,0,7,0,0,0,Six months
International Potato Center,cip,1,0,1,0,1,0,0,0,1,0,0,0,Six months
International Rescue Committee UK,irc_uk,8,4,7,12,2,10,3,3,5,0,0,0,Six months
Internews Europe,ieu,0,0,0,0,0,1,0,1,0,0,0,0,Six months
Iraq Foundation,iraq_foundation,0,0,0,1,1,0,0,1,0,0,0,0,Six months
Islamic Relief Worldwide,irw,0,2,1,1,0,7,0,0,5,0,0,0,Six months
Itad,itad,2,0,4,2,0,0,0,1,0,0,0,0,Six months
Just Associates,jass,0,0,13,0,0,16,2,0,11,0,0,0,Six months
Kenya Community Development Foundation,kcdf,0,0,0,0,0,1,1,1,0,0,0,0,Six months
