Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Org on Registry,Reporting Orgs in Data (count),Reporting Orgs in Data,Hierarchies (count),Hierarchies
African Centre for Global Health and Social Transformation,achest,7,1,2,1,1,271531,UG-RSB-73316,1,UG-RSB-73316,1,1
Asian Coalition for Housing Rights,achr,1,0,1,1,0,1670,TH-TIN-0993000190092,1,TH-TIN-TH-TIN-0993000190092,1,1
ACODEV,acodev,6,1,2,1,1,71536,BE-BCE_KBO-0462279234,1,BE-BCE_KBO-0462279234,2,1;2
Agency for Cooperation and Research in Development (ACORD),acord,4,1,5,4,1,89138,GB-CHC-283302,1,GB-CHC-283302,1,1
Across,across,2,1,3,2,1,82399,KE-NGC-9381,2,KE-NCB-9381;KE-NGC-9381,2,1;null
act4africa,act4africa,1,1,2,1,1,19530,GB-COH-04276635,1,GB-COH-04276635,1,1
ACT Alliance,act_alliance,2,1,2,1,1,7729,CH-FDJP-66006990023,2,NL-KVK-813612809;XI-IATI-CH-FDJP-66006990023,1,1
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,15,1,2,1,1,250646,BE-BCE_KBO-0424198222,1,BE-BCE_KBO-0424198222,2,1;2
ACTED,acted,4,1,5,4,1,61937,FR-SIRET-4028868160030,2,FR-RCS-402886816;FR-SIRET-4028868160030,1,1
Association of Commonwealth Universities,acu,37,0,1,1,0,171168,GB-CHC-314137,1,GB-CHC-314137,1,1
Acumen,acumen,5,0,1,1,0,40478,US-EIN-134166228,1,US-EIN-134166228,1,1
Stichting VU Amsterdam - Amsterdam Centre for World Food Studies,acwfs_vu,7,1,2,1,1,31880,NL-KVK-53815211,1,NL-KVK-53815211,1,1
Akili Dada,ad,6,0,1,1,0,41325,KE-NCB-218051200602584403,1,KE-NCB-218051200602584403,1,1
Auto-Développement Afrique (ADA),ada,3,1,2,1,1,50703,BE-BCE_KBO-0408095925,1,BE-BCE_KBO-0408095925,2,1;2
ADD International (Action on Disability and Development),addinternational,23,1,14,13,1,347013,GB-COH-294860,1,GB-COH-294860,2,0;null
Commune de Adja-Ouere - Bénin,adja-ouere,1,1,2,1,1,91609,BJ-IFU-6200901944008,1,BJ-IFU-6200901944008,1,null
Commune de Adjarra - Bénin,adjarra,1,1,2,1,1,29471,BJ-IFU-6201810251129,1,null,1,null
Commune de Adjohoun - Bénin,adjohoun,1,1,2,1,1,81935,BJ-IFU-5200801335602,1,BJ-IFU-5200801335602,1,null
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,1,0,1,1,0,3028,mz-moj-64vq1,1,mz-moj-64vq1,1,1
ADRA Denmark,adra-dk,11,1,2,1,1,77313,DK-CVR-20074035,1,DK-CVR-20074035,1,1
"Adventist Development and Relief Agency, Nepal",adra_nepal,2,1,3,2,1,7320,NP-IRD-302113730,1,XI-IATI-NP-IRD-302113730,1,1
Adventist Development and Relief Agency (ADRA Somalia),adrasom,2,0,2,2,0,92885,KE-NGC-663,1,KE-NGC-663,1,null
ADRA-UK,adrauk,5,1,2,1,1,97396,GB-CHC-1074937,1,GB-CHC-1074937,3,0;1;null
ADS-Nyanza,ads-nyanza,1,0,1,1,0,24888,KE-RCO-78260,1,KE-RCO-78260,1,null
Atradius Dutch State Business,adsb,88,1,2,1,1,220574,NL-KVK-33226495,1,NL-KVK-33226495,1,1
Spanish Agency for International Development Cooperation (AECID),aecid,3011,1,95,94,1,14115007,ES-DIR3-EA0035768,3,ES-DIR3-EA0035768;ES-DIR3-EA0045628;XM-DAC-50-21,1,null
AECOM,aecom,64,0,1,1,0,99857,GB-COH-01846493,2,GB-COH-01846493;GB-COH-GB-COH-01846493,1,1
Aeras,aeras,1,1,2,1,1,53829,US-EIN-522044704,1,US-EIN-522044704,1,1
Africa Educational Trust,aet,3,1,2,1,1,32973,GB-CHC-313139,1,GB-CHC-313139,2,1;null
Adaptation Fund,af,30,0,1,1,0,142953,XM-DAC-47111,1,47111,1,null
Agence Française de Développement,afd,2773,1,83,82,1,18689958,FR-3,1,FR-3,2,1;2
African Development Bank,afdb,4627,1,56,55,1,113179541,XM-DAC-46002,1,XM-DAC-46002,1,1
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",afdi-fr,0,1,1,0,1,831,FR-INSEE-31827645800037,1,FR-SIRET-31827645800037,0,
AFELT,afelt,1,1,2,1,1,8934,KE-KRA-P051713416W,1,KE-KRA-P051713416W,1,1
Arab foundation for freedoms and equality,afemena,4,0,1,1,0,54616,LB-MOI-18291,1,LB-MOI-18291,1,1
AFEW International,afewinternational,6,0,1,1,0,133926,NL-KVK-34148682,1,NL-KVK-34148682,1,2
Afghanaid,afghanaid,4,0,1,1,0,9803484,GB-CHC-1045348,1,GB-CHC-1045348,1,1
African Institute For Development Policy,afidep,0,1,1,0,1,691,KE-KRA-P051335339D,1,KE-KRA-P051335339D,0,
Stichting Aflatoun International,aflatoun,0,0,0,0,0,0,NL-KVK-34229026,0,,0,
Africalia,africalia,11,1,2,1,1,225832,BE-BCE_KBO-0474198059,1,BE-BCE_KBO-0474198059,1,1
African Parks Network,african_parks,14,0,1,1,0,25603,ZA-CIP-2007-0308903-08,1,ZA-CIP-2007-0308903-08,1,1
African Revival,africanrevival,1,0,1,1,0,4411,GB-CHC-1108718,1,GB-CHC-1108718,1,1
Afrikagrupperna Sweden,afrikagrupperna,53,0,1,1,0,332190,SE-ON-802007-2446,1,SE-ON-802007-2446,1,null
AfriKids,afrikids,4,1,2,1,1,81547,GB-CHC-1141028,1,GB-CHC-1141028,2,0;1
American Friends Service Committee,afsc,1,0,1,1,0,32882,US-EIN-23-1352010,1,NL-KVK-41149831,1,null
AgDevCo,agdevco,53,0,1,1,0,128311,GB-COH-07026479,1,GB-COH-07026479,1,1
HelpAge International UK,ageintl,44,1,2,1,1,338268,GB-CHC-1128267-8,1,GB-CHC-1128267-8,1,1
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,1,1,2,1,1,41499,MZ-NUIT-50039061,1,MZ-NUIT-50039061,1,5
Alliance for a Green Revolution for Africa,agra,1,1,2,1,1,7234,US-EIN-98-0513530,1,US-EIN-98-0513530,1,1
AgResults Initiative,agresults,11,1,12,11,1,31211,XI-IATI-AGR,1,XI-IATI-AGR,1,1
The AGRI3 Fund,agri3_fund,6,1,2,1,1,10546,NL-KVK-72908114,1,NL-KVK-72908114,1,1
Stichting Agriterra,agriterra,2741,1,4,3,1,42932994,NL-KVK-41048542,1,NL-KVK-41048542,3,1;2;3
Agroicone,agroicone,0,0,0,0,0,0,BR-CNPJ-09294138-0001-15,0,,0,
"Alliance for Global Water Adaptation, Inc",agwa,1,0,1,1,0,8377,US-EIN-83-3732786,1,US-EIN-833732786,1,1
Academy for Health Development (AHEAD),ahead,1,1,2,1,1,11790,NG-CAC-692943,1,NG-CAC-692943,1,1
African Initiatives,ai_1064413,3,1,2,1,1,54348,GB-CHC-1064413,2,GB-CHC-1064413;null,1,1
Administração de Infra-Estruturas de Águas e Saneamento,aias,2,0,1,1,0,38593,MZ-NUIT-700098168,1,MZ-NUIT-700098168,1,1
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,2668,1,92,91,1,24137292,XM-DAC-6-4,1,XM-DAC-6-4,2,1;2
AidData,aiddata,24319,0,19,19,0,64235649,US-501c3-522318905,1,US-501c3-522318905,1,null
Stichting Aidenvironment,aidenvironment,12,0,4,4,0,343772,NL-KVK-41208024,1,NL-KVK-41208024,1,1
AIDSPAN,aidspan,7,1,2,1,1,15262,US-EIN-32-0060251,1,US-EIN-32-0060251,1,1
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,10,1,2,1,1,44335,UG-NGO-3329,1,UG-NGB-3329,1,1
Amnesty International UK Section Charitable Trust,aiuk,1,0,1,1,0,2302,GB-CHC-1051681,1,GB-CHC-1051681,1,1
Asia Justice and Rights,ajar,1,0,1,1,0,90248,ID-DJP-312529852906000,1,ID-DJP-312529852906000,1,1
Aga Khan Foundation Afghanistan,akf_afghanistan,3,1,2,1,1,10071,AF-MOE-138,1,AF-MOE-138,1,1
Aga Khan Foundation (United Kingdom),akfuk73,6,5,2,1,1,146844,GB-COH-1100897,1,GB-COH-1100897,1,1
Commune de Akpro-Missérété - Bénin,akpro-misserete,1,1,2,1,1,85406,BJ-IFU-6201001843703,1,BJ-IFU-6201001843703,1,null
Aktis Strategy Ltd,aktis,6,1,6,5,1,40961,GB-COH-08327972,1,GB-COH-08327972,1,1
Akvo Foundation,akvo,1,1,2,1,1,78352,NL-KVK-27327087,2,NL-KVK-27327087;NL-KVK-41150939,1,null
Al Majmoua,al_majmoua,2,0,1,1,0,8649,LB-MOI-1-100,1,LB-MOI-1-100,1,1
Accountability Lab,alab,3,1,2,1,1,56506,US-EIN-45-4613016,1,US-EIN-45-4613016,1,1
Alcis Holdings Limited,alcis,1,0,1,1,0,2163,GB-COH-5155300,1,GB-COH-5155300,1,1
ONG ALCRER,alcrer-1,1,1,2,1,1,112733,BJ-IFU-6201200599008,1,BJ-IFU-6201200599008,1,null
Alfalit,alfalit,2,0,1,1,0,21737,MZ-MOJ-203D,1,MZ-MOJ-203D,1,null
Alinea International Ltd.,alineainternational_2020,5,1,2,1,1,23944,CA_AB-ABT-203435797,1,CA_AB-ABT-203435797,1,1
Commune de Allada - Bénin,allada,2,1,2,1,1,168604,BJ-IFU-6201501755307,2,BJ-IFU-5200801335602;BJ-IFU-6201501755307,1,null
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,1,1,2,1,1,98592,GB-CHC-1047608,1,GB-CHC-1047608,1,1
All We Can (formerly Methodist Relief and Development Fund),allwecan,2,0,2,2,0,35413,GB-CHC-291691,1,GB-CHC-291691,1,1
Altai Consulting,altai,3,0,1,1,0,5473,AE-HFZA-1526,1,AE-HFZA-1526,1,1
Assistance Mission for Africa,ama-south-sudan,1,0,1,1,0,12034,SS-RRC-465,1,SS-RRC-465,1,1
Amnesty International The Netherlands,amnesty,10,1,2,1,1,90900,NL-KVK-40530953,1,NL-KVK-40530953,2,1;2
Amref Health Africa in Ethiopia,amrefeth,4,1,3,2,1,176091,ET-MFA-0001989741,1,ET-MFA-0001989741,1,1
Amref Health Africa - UK,amrefha,26,1,5,4,1,153881,GB-CHC-261488,1,GB-CHC-261488,1,1
Amref Health Africa Headquarters,amrefhq,4,1,2,1,1,68174,KE-RCO-C1-61,1,KE-RCO-C1-61,1,1
Amref Health Africa in Kenya,amrefkenya,4,1,2,1,1,203208,KE-NCB-93175,1,KE-NCB-93175,1,1
Amref Health Africa Malawi,amrefmw,3,1,2,1,1,181420,MW-NBM-R1527,1,MW-NBM-R1527,1,1
Amref Flying Doctors,amrefnl,70,1,2,1,1,979829,NL-KVK-41150298,1,NL-KVK-41150298,1,1
Amref Health Africa in Tanzania,amreftz,2,0,1,1,0,27188,TZ-BRLA-4368,1,TZ-BRLA-4368,1,1
Amref Health Africa in Uganda,amrefug,4,1,2,1,1,69308,UG-NGB-5914-252,1,UG-NGB-5914-252,1,1
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,1,1,2,1,1,277368,KE-NCB-OP21805193101154,1,KE-NCB-OP21805193101154,1,1
Akina Mama wa Afrika,amwa,12,1,4,3,1,373567,UG-NGO-3580,1,UG-NGO-3580,2,1;null
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,3,1,2,1,1,149596,BJ-IFU-4201710182326,1,bj-IFU-4201710182326,1,null
The National Association of Municipalities of Benin (ANCB),ancb_benin,24,2,3,1,2,759049,BJ-IFU-6201408024805,4,BJ-IFU-4201710012551;BJ-IFU-6201408024805;NL-KVK-27327087;NL-KVK-41150939,1,null
ANDA,anda,2,0,1,1,0,21763,MZ-MOJ-F30G1No89,1,MZ-MOJ-F30G1No89,1,null
Association for Progressive Communication,apc,8,1,2,1,1,66576,US-EIN-943287156,1,US-EIN-943287156,1,1
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,18,0,11,11,0,353874,BE-BCE_KBO-0415880570,1,BE-BCE_KBO-0415880570,1,1
African Population and Health Research Center,aphrc,1,0,1,1,0,2675,US-EIN-06-1608361,1,US-EIN-06-1608361,1,1
Commune de Aplahoué - Bénin,aplahoue,2,1,2,1,1,160515,BJ-IFU-6201001076902,2,BJ-IFU-6201001076902;BJ-IFU-6201001843703,1,null
Africa Philanthropy Network,apn,1,1,2,1,1,4049,TZ-NNCB-INGOR2000123,1,TZ-NNCB-I-NGO/R2/000123,1,1
Afghanistan Public Policy Research Organization (APPRO),appro-af,5,1,2,1,1,184650,AF-MOE-1212,1,AF-MOE-1212,1,1
APPRO-Europe,appro-eu,2,1,2,1,1,33702,BE-GTCF-630789842,1,BE-GTCF-630789842,1,1
APT Action on Poverty,apt,5,1,4,3,1,164058,GB-CHC-290836,1,GB-CHC-290836,1,1
Aqua for All,aqua4all,81,0,1,1,0,1800496,NL-KVK-27248417,1,NL-KVK-27248417,1,null
ABAAD - Resource Center for Gender Equality,arcfge,33,1,2,1,1,300534,LB-MOI-497,1,LB-MOI-497,1,1
Académie de recherche et d'enseignement supérieur,ares,22,1,2,1,1,1212898,BE-BCE_KBO-0546740696,1,BE-BCE_KBO-0546740696,1,1
Association for Reproductive and Family Health,arfh,3,1,2,1,1,14791,NG-CAC-5938,1,NG-CAC-5938,1,1
Arab Reporters for Investigative Journalism,arij,1,1,2,1,1,25182,JO-CCD-50544,1,JO-CCD-50544,1,1
ARK (Absolute Return for Kids),ark,2,0,1,1,0,18990,GB-COH-04589451,1,GB-COH-04589451,1,1
Article19,art19,6,1,5,4,1,237275,GB-CHC-327421,1,GB-CHC-327421,2,1;2
Association de Soutien au Développement des Activités de Population,asdap,2,1,3,2,1,157696,ML-NIF-086108989R,1,ML-NIF-086108989R,1,null
Asian Development Bank,asdb,2159,1,41,40,1,145709700,XM-DAC-46004,1,XM-DAC-46004,1,1
Avocats Sans Frontières,asf,22,1,2,1,1,325277,BE-BCE_KBO-0447404580,1,BE-BCE_KBO-0447404580,2,1;2
Ashoka East Africa,ashoka,1,1,2,1,1,12123,KE-NCB-21805120080955572,1,KE-NCB-OP.218/051/2008/095/5572,1,1
Adam Smith International,asi,6,1,2,1,1,879475,GB-COH-2732176,1,GB-COH-2732176,1,1
Anti-Slavery International,asil,5,1,2,1,1,147516,GB-CHC-1049160,1,GB-CHC-1049160,2,1;3
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,2,1,2,1,1,8901,NP-SWC-8220,1,NP-SWC-8220,1,1
African Security Sector Network,assn,1,0,1,1,0,15823,GH-DSW-7992,1,GH-DSW-GH-DSW-7992,1,1
African Tax Administration Forum,ataf,2,0,1,1,0,7405,XI-BRIDGE-3665722432,1,ZA-PBO-7270782362,1,1
Access to Medicine Foundation,atmf,5,0,1,1,0,61659,NL-KVK-34185938,1,NL-KVK-34185938,1,1
The Access to Nutrition Foundation,atnf,17,1,2,1,1,675971,NL-KVK-58279199,1,NL-KVK-58279199,1,1
Atos IT Services Ltd,atosuk,3,1,2,1,1,14639,GB-COH-01245534,1,GB-COH-01245534,1,1
Access to Seeds Foundation,atsf,16,0,1,1,0,21531,NL-KVK-70292361,2,NL-KVK-53744993;NL-KVK-70292361,1,1
Australia - Department of  Foreign Affairs and Trade,ausgov,13927,1,156,155,1,58835035,AU-5,1,AU-5,1,1
AUXFIN Burundi,auxfinbi,8,1,2,1,1,75818,BI-NIF-4000742330,1,BI-NIF-4000742330,1,1
Avanti Communications Plc,ava_admin,1,1,2,1,1,56174,GB-COH-06133927,1,GB-COH-06133927,1,1
Commune de Avrankou - Bénin,avrankou,1,1,2,1,1,78075,BJ-IFU-6201300688700,1,BJ-IFU-6201300688700,1,null
AVSI South Sudan,avsi-ssd,1,0,1,1,0,9464,SS-RRC-140,1,SS-RRC-140,1,1
AVSI FOUNDATION IN UGANDA,avsi_uganda,2,1,3,2,1,258578,UG-NGB-5914-129,1,UG-NGB-5914-129,1,1
AVT-L Association of Victims of Terrorism Lebanon,avt-l,45,1,2,1,1,99876,LB-MOI-853,1,LB-MOI-853,1,1
Amref health Africa in Senegal,awa_sn,1,0,1,1,0,21149,SN-NINEA-004487121,1,SN-NINEA-004487121,1,1
African Women's Development Fund,awdf,25,0,1,1,0,195236,GH-DSW-2046,1,GH-DSW-2046,1,1
AWEPA,awepa,10,1,2,1,1,296463,NL-KVK-34106722,1,NL-KVK-34106722,1,1
Association for Women's Rights in Development (AWID),awid,16,1,2,1,1,302736,US-EIN-521291786,1,US-EIN-521291786,1,1
Arab Women Organization of Jordan,awo2022,1,0,1,1,0,11812,JO-MSD-19700011100010,1,JO-MSD-19700011100010,1,1
British Asian Trust,b_a_t,1,0,1,1,0,5187,GB-CHC-1127366,1,GB-CHC-1127366,1,1
British & Irish Agencies Afghanistan Group,baag,1,0,1,1,0,16360,GB-CHC-1135700,1,GB-CHC-1135700,1,1
Benelux Afro Center,bac,5,1,2,1,1,73525,BE-BCE_KBO-0463729878,1,BE-BCE_KBO-0463729878,2,1;2
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,1,1,2,1,1,4252,BD-NAB-0203,1,BD-NAB-0203,1,1
Backward Society Education (BASE),base_22,16,1,2,1,1,36333,NP-DAO-DANG-18-046/47,1,NP-DAO-DANG-18-046/47,1,1
BasicNeeds,basicneeds,6,1,6,5,1,45158,GB-CHC-1079599,1,GB-CHC-1079599,1,1
Bees Abroad UK,bauk,1,1,2,1,1,14838,GB-CHC-1108464,1,GB-CHC-1108464,1,1
Babawatoto Centre For Children and Youth,bawacecy-tz,2,0,1,1,0,7034,TZ-TRA-116315386,1,TZ-TRA-116315386,1,1
BBC Media Action,bbcmediaaction,45,1,2,1,1,152188,GB-CHC-1076235,1,GB-CHC-1076235,1,1
Bangladesh Business and Disability Network,bbdn,1,0,1,1,0,3026,XI-IATI-BBDN,1,XI-IATI-IATI-BBDN,1,1
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,1,1,2,1,1,15884,MW-CNM-BCM-CF,1,MW-CNM-BCM-CF,1,1
Broederlijk Delen,bd,17,1,16,15,1,747607,BE-BCE_KBO-0418088113,1,BE-BCE_KBO-0418088113,2,1;2
BDO LLP,bdo,3,1,2,1,1,38655,GB-COH-OC305127,1,GB-COH-OC305127,1,1
Belgian Development Cooperation,be-dgd,745,1,5,4,1,6826441,XM-DAC-2-10,1,XM-DAC-2-10,1,1
Bees for Development Trust,beesfordevelopment,2,1,3,2,1,37466,GB-CHC-1078803,1,GB-CHC-1078803,1,1
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",beis,3313,1,16,15,1,35920480,GB-GOV-13,1,GB-GOV-13,1,null
Berytech Foundation,berytech,2,1,2,1,1,35695,LB-MOI-26_AD,2,LB-MOI-26_AD;XI-PB-26_AD,1,1
Bioclimate Research and Development,bioclimate,3,0,1,1,0,10028,GB-SC-044007,1,GB-SC-044007,1,1
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,3,1,2,1,1,88555,BE-BCE_KBO-0478060441,1,BE-BCE_KBO-0478060441,2,1;2
Behavioural Insights Team,bit,1,0,1,1,0,6401,GB-COH-08567792,1,GB-COH-08567792,1,1
Business in the Community,bitc,1,1,2,1,1,4072,GB-CHC-297716,1,GB-CHC-297716,1,1
Burundi Leadership Training Programme,bltp,1,1,2,1,1,39096,BI-NIF-4000450306,1,BI-NIF-4000450306,1,null
Blue Ventures Conservation,blueventures,1,1,2,1,1,10654,GB-CC-1098893,1,GB-CC-1098893,1,1
Bill & Melinda Gates Foundation,bmgf,8112,1,11,10,1,91615582,DAC-1601,1,DAC-1601,1,1
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,776,0,1,1,0,3170759,XI-IATI-IKI,1,XI-IATI-IKI,1,null
Germany - Ministry for Economic Cooperation and Development,bmz,27696,1,143,142,1,173389655,DE-1,1,DE-1,1,1
Bangladesh Nari Progati Sangha,bnps,1,0,1,1,0,19938,BD-NAB-0271,1,BD-NAB-0271,1,null
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,boadiita,56,0,7,7,0,90460,XM-DAC-46021,1,XM-DAC-46021,1,1
Bond,bond,8,1,2,1,1,115212,GB-CHC-1068839,1,GB-CHC-1068839,1,1
Commune de Bopa - Bénin,bopa,3,1,2,1,1,240770,BJ-IFU-6200901944209,3,BJ-IFU-6200901944209;BJ-IFU-6201001076902;BJ-IFU-6201001843703,1,null
BoP Innovation Center,bopinc,2,1,2,1,1,27950,NL-KVK-50744984,1,NL-KVK-50744984,1,1
BOS+ tropen,bos_plus_tropen,15,0,1,1,0,230710,BE-BCE_KBO-0479222461,1,BE-BCE_KBO-0479222461,2,1;2
Both ENDS,bothends,15,1,6,5,1,1480313,NL-KVK-41210098,1,NL-KVK-41210098,1,2
Bangladesh Primary Care Respiratory Society,bpcrs,1,1,2,1,1,14971,BD-ROC-S-12313,1,BD-ROC-S-12313,1,1
BRAC,brac_admin2,2,1,2,1,1,107150,BD-NAB-002,1,BD-NAB-002,1,1
BRAC International,bracintl,18,0,1,1,0,208569,NL-CCI-20081098,3,GB-CHC-1115482;GB-COH-1115482;NL-CCI-20081098,2,0;1
BRAC UK,bracuk,30,1,2,1,1,293383,GB-CHC-1115482,3,GB-CHC-1115482;GB-COH-1115482;NL-CCI-20081098,2,0;1
British Council,britishcouncil,74,1,48,47,1,1359081,GB-CHC-209131,1,GB-CHC-209131,1,1
Brujula Comunicaciones Estrategicas SAS,brujula,0,1,1,0,1,1090,CO-RUE-830140714-1,1,CO-RUE-830140714-1,0,
Brulocalis,brulocalis,6,1,2,1,1,102806,BE-BCE_KBO-0451516390,1,BE-BCE_KBO-0451516390,2,1;2
Bibliothèques Sans Frontières,bsf1,2,1,2,1,1,63127,FR-RCS-49962201700014,1,FR-INSEE-S499622017,1,1
BSR,bsr_admin,5,1,4,3,1,12471,US-EIN-52-1764268,1,US-EIN-52-1764268,1,2
BRAC University,bu,7,1,2,1,1,162327,XI-GRID-grid.52681.38,3,BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142;XI-GRID-XI-GRID-grid.52681.38;XI-GRID-grid.52681.38,1,1
Boston University,bu-carbx-admin,17,0,1,1,0,25001,US-EIN-04-2103547,1,US-EIN-04-2103547,1,1
Bucks Community NGO,bucksfarm,1,0,1,1,0,7870,UG-NGB-10890,1,UG-NGB-10890,1,1
Build Africa,buildafrica,2,1,2,1,1,44111,GB-CHC-298316,2,GB-CHC-298316;null,1,1
Balloon Ventures Foundation,bvf,1,1,2,1,1,6756,GB-CHC-1141552,1,GB-CHC-1141552,1,1
Instituto BVRio,bvrio,1,0,1,1,0,13153,BR-CNPJ-14.563.354/0001-50,1,BR-CNPJ-14.563.354/0001-50,1,1
Burns Violence Survivors - Nepal,bvs-nepal,1,1,2,1,1,5341,NP-SWC-27288,1,NP-SWC-27288,1,1
Brigham and Women's Hospital,bwh,1,1,2,1,1,9508,US-EIN-042312909,1,US-EIN-042312909,1,1
