Publisher Name,Publisher Registry Id,Core Average (with valid data),Financials Average (with valid data),Value Added Average (with valid data),Weighted Average (with valid data),Core Average (with any data),Financials Average (with any data),Value Added Average (with any data),Weighted Average (with any data)
Arab Reporters for Investigative Journalism,arij,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab Women Organization of Jordan,awo2022,100.0,100.0,22.22222222222222,80.55555555555556,100.0,100.0,22.22222222222222,80.55555555555556
"ARGUS, Company with Foreign Capital",argus_kyiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARK (Absolute Return for Kids),ark,100.0,25.0,44.44444444444444,67.36111111111111,100.0,25.0,44.44444444444444,67.36111111111111
ARK Group DMCC,arkgroupdmcc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ International,arq_intl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Article19,art19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashoka East Africa,ashoka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia Justice and Rights,ajar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asian Coalition for Housing Rights,achr,90.0,25.0,0.0,51.25,100.0,25.0,0.0,56.25
Asian Development Bank,asdb,90.70240295748613,66.45101663585952,60.10219187807255,76.98950360722608,100.0,66.45101663585952,60.215151418019154,81.66654201346967
Asian-Pacific Resource and Research Centre for Women (ARROW),my-ssm,100.0,100.0,44.44444444444444,86.11111111111111,100.0,100.0,44.44444444444444,86.11111111111111
Asociación Movimiento Feminista Por La Paz Ruta Pacífica de las Mujeres,rpm,100.0,75.0,33.333333333333336,77.08333333333333,100.0,75.0,33.333333333333336,77.08333333333333
Asociación Profamilia,profamilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assistance Mission for Africa,ama-south-sudan,100.0,100.0,44.44444444444444,86.11111111111111,100.0,100.0,44.44444444444444,86.11111111111111
Association African Solidarité (AAS),240001090,90.0,50.0,33.333333333333336,65.83333333333333,100.0,50.0,33.333333333333336,70.83333333333333
Association Burkinabè pour le Bien Etre Familial Burkina Faso,abbef,100.0,50.0,44.44444444444444,73.61111111111111,100.0,50.0,44.44444444444444,73.61111111111111
Association Béninoise pour la Promotion de la Famille,abpf,100.0,100.0,66.66666666666667,91.66666666666667,100.0,100.0,66.66666666666667,91.66666666666667
Association Béninoise pour le Marketing Social et la Communication pour la Santé (ABMS),abms,100.0,75.0,44.44444444444444,79.86111111111111,100.0,75.0,44.44444444444444,79.86111111111111
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Association CHS Alliance,chs_alliance,92.5,50.0,31.944444444444443,66.73611111111111,100.0,50.0,31.944444444444443,70.48611111111111
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",afdi-fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Association de Soutien au Développement des Activités de Population,asdap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Association des Editeurs du Magazine Jimbere,j2022,100.0,50.0,22.22222222222222,68.05555555555556,100.0,50.0,22.22222222222222,68.05555555555556
Association des Jeunes Burundais pour le Développement Inclusif (AJEBUDI-YAGA),ajebudi_2024,90.0,75.0,44.44444444444444,74.86111111111111,100.0,75.0,44.44444444444444,79.86111111111111
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,100.0,100.0,44.05594405594406,86.01398601398601,100.0,100.0,44.05594405594406,86.01398601398601
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Association for Progressive Communication,apc,100.0,51.041666666666664,40.211640211640216,72.81332671957672,100.0,51.041666666666664,40.211640211640216,72.81332671957672
Association for Reproductive and Family Health,arfh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Association for Women's Rights in Development (AWID),awid,96.66666666666666,83.33333333333333,37.03703703703703,78.42592592592591,100.0,83.33333333333333,37.03703703703703,80.09259259259258
Association of Commonwealth Universities,acu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,100.0,100.0,41.48148148148149,85.37037037037037,100.0,100.0,41.48148148148149,85.37037037037037
Atos IT Services Ltd,atosuk,93.33333333333333,50.0,25.925925925925924,65.64814814814815,93.33333333333333,50.0,25.925925925925924,65.64814814814815
Atradius Dutch State Business,adsb,100.0,43.65079365079365,27.645855379188713,67.82416225749559,100.0,43.65079365079365,27.645855379188713,67.82416225749559
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,100.0,72.91666666666666,42.59259259259259,78.87731481481481,100.0,72.91666666666666,42.59259259259259,78.87731481481481
Australia - Department of  Foreign Affairs and Trade,ausgov,99.91935483870968,92.07949308755761,40.07860463465701,82.9992018499085,100.0,92.07949308755761,40.09140545390945,83.04272463536675
Auto-Développement Afrique (ADA),ada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autre Terre asbl,a-t,100.0,100.0,41.26984126984127,85.31746031746032,100.0,100.0,41.26984126984127,85.31746031746032
AUXFIN Burundi,auxfinbi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUXFIN International B.V.,auxfinintl,100.0,100.0,44.44444444444444,86.11111111111111,100.0,100.0,44.44444444444444,86.11111111111111
Avanti Communications Plc,ava_admin,100.0,75.0,22.22222222222222,74.30555555555556,100.0,75.0,22.22222222222222,74.30555555555556
Avocats Sans Frontières,asf,100.0,100.0,45.03968253968254,86.25992063492063,100.0,100.0,46.42857142857142,86.60714285714286
AVSI FOUNDATION IN UGANDA,avsi_uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVSI South Sudan,avsi-ssd,100.0,75.0,77.77777777777777,88.19444444444444,100.0,75.0,77.77777777777777,88.19444444444444
AVT-L Association of Victims of Terrorism Lebanon,avt-l,90.0,25.0,11.11111111111111,54.02777777777778,90.0,25.0,11.11111111111111,54.02777777777778
Awake Travel,awaketravel,90.0,50.0,22.22222222222222,63.05555555555556,100.0,50.0,22.22222222222222,68.05555555555556
AWEPA,awepa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. P. Koirala Institute of Health Sciences,bpkihs_dharan,100.0,50.0,33.333333333333336,70.83333333333333,100.0,50.0,33.333333333333336,70.83333333333333
Babawatoto Centre For Children and Youth,bawacecy-tz,100.0,75.0,22.22222222222222,74.30555555555556,100.0,75.0,22.22222222222222,74.30555555555556
Backward Society Education (BASE),base_22,92.5,25.0,2.7777777777777777,53.19444444444444,100.0,25.0,2.7777777777777777,56.94444444444444
Balloon Ventures Foundation,bvf,100.0,75.0,55.55555555555556,82.63888888888889,100.0,75.0,55.55555555555556,82.63888888888889
Bangladesh Business and Disability Network,bbdn,100.0,75.0,11.11111111111111,71.52777777777777,100.0,75.0,11.11111111111111,71.52777777777777
Bangladesh Nari Progati Sangha,bnps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh Primary Care Respiratory Society,bpcrs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh Youth Leadership Center,bylc,93.33333333333333,0.0,11.11111111111111,49.44444444444444,100.0,0.0,11.11111111111111,52.77777777777778
Bani Abdurrahman Wahid Foundation (YBAW),ybawahid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,boadiita,100.0,50.0,32.7485380116959,70.68713450292398,100.0,50.0,32.7485380116959,70.68713450292398
Basel Institute on Governance,basel_institute,85.0,25.0,22.22222222222222,54.30555555555556,90.0,25.0,22.22222222222222,56.80555555555556
BasicNeeds,basicneeds,88.0,50.0,23.88888888888889,62.47222222222222,100.0,50.0,30.555555555555557,70.13888888888889
Basil Energetics Private Limited,bepl,90.0,50.0,11.11111111111111,60.27777777777778,100.0,50.0,11.11111111111111,65.27777777777777
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBC Media Action,bbcmediaaction,100.0,43.75,28.47222222222222,68.05555555555556,100.0,43.75,28.47222222222222,68.05555555555556
Bboxx,bboxx,90.0,50.0,0.0,57.5,100.0,50.0,0.0,62.5
BDO LLP,bdo,100.0,50.0,33.333333333333336,70.83333333333333,100.0,50.0,33.333333333333336,70.83333333333333
Bees Abroad UK,bauk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bees for Development Trust,beesfordevelopment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behavioural Insights Team,bit,100.0,50.0,11.11111111111111,65.27777777777777,100.0,50.0,11.11111111111111,65.27777777777777
Belgian development agency (Enabel),enabel,98.07594936708861,16.582278481012658,60.196905766526015,68.23277074542898,99.0126582278481,16.582278481012658,60.196905766526015,68.70112517580873
Belgian Development Cooperation,be-dgd,99.88571428571429,90.45454545454545,57.25977545489741,86.87143737021786,100.0,90.45454545454545,57.386759581881535,86.96032625910675
Benelux Afro Center,bac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berytech Foundation,berytech,90.0,62.5,22.22222222222222,66.18055555555556,95.0,62.5,22.22222222222222,68.68055555555556
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,100.0,100.0,33.333333333333336,83.33333333333333,100.0,100.0,33.333333333333336,83.33333333333333
BFA Global Kenya Ltd,bfa_global,100.0,25.0,11.11111111111111,59.02777777777778,100.0,25.0,11.11111111111111,59.02777777777778
Bibliothèques Sans Frontières,bsf1,100.0,75.0,44.44444444444444,79.86111111111111,100.0,75.0,44.44444444444444,79.86111111111111
Bioclimate Research and Development,bioclimate,90.0,74.99999999999999,7.4074074074074066,65.60185185185185,100.0,91.66666666666666,7.4074074074074066,74.7685185185185
Blue Veins,bveins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Ventures Conservation,blueventures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,bond,100.0,56.25,47.22222222222222,75.86805555555556,100.0,56.25,47.22222222222222,75.86805555555556
BoP Innovation Center,bopinc,100.0,87.5,50.0,84.375,100.0,87.5,50.0,84.375
